locationabbr,locationdesc,ffy_year,topicdesc,measuredesc,submeasure,data_value,data_value_unit,data_value_type,geolocation,source,topictypeid,topicid,measureid,submeasureid,displayorder,:@computed_region_hjsp_umg2
AL,Alabama,2018,Synar Report,Sales to Minors,Youth Tobacco Sales - SAMHSA,6.6,%,Percent,"{'latitude': '32.84057112200048', 'longitude': '-86.63186076199969', 'human_address': '{""address"": """", ""city"": """", ""state"": ""AL"", ""zip"": """"}'}",Substance Abuse and Mental Health Services Administration (SAMHSA). Synar Reports: Tobacco Sales to Youth.,POL,360POL,150STM,155YTS,1,29
AK,Alaska,2018,Synar Report,Sales to Minors,Youth Tobacco Sales - SAMHSA,4.7,%,Percent,"{'latitude': '64.84507995700051', 'longitude': '-147.72205903599973', 'human_address': '{""address"": """", ""city"": """", ""state"": ""AK"", ""zip"": """"}'}",Substance Abuse and Mental Health Services Administration (SAMHSA). Synar Reports: Tobacco Sales to Youth.,POL,360POL,150STM,155YTS,1,51
AZ,Arizona,2018,Synar Report,Sales to Minors,Youth Tobacco Sales - SAMHSA,12.7,%,Percent,"{'latitude': '34.865970280000454', 'longitude': '-111.76381127699972', 'human_address': '{""address"": """", ""city"": """", ""state"": ""AZ"", ""zip"": """"}'}",Substance Abuse and Mental Health Services Administration (SAMHSA). Synar Reports: Tobacco Sales to Youth.,POL,360POL,150STM,155YTS,1,7
AR,Arkansas,2018,Synar Report,Sales to Minors,Youth Tobacco Sales - SAMHSA,2.6,%,Percent,"{'latitude': '34.74865012400045', 'longitude': '-92.27449074299966', 'human_address': '{""address"": """", ""city"": """", ""state"": ""AR"", ""zip"": """"}'}",Substance Abuse and Mental Health Services Administration (SAMHSA). Synar Reports: Tobacco Sales to Youth.,POL,360POL,150STM,155YTS,1,15
CA,California,2018,Synar Report,Sales to Minors,Youth Tobacco Sales - SAMHSA,5.7,%,Percent,"{'latitude': '37.63864012300047', 'longitude': '-120.99999953799971', 'human_address': '{""address"": """", ""city"": """", ""state"": ""CA"", ""zip"": """"}'}",Substance Abuse and Mental Health Services Administration (SAMHSA). Synar Reports: Tobacco Sales to Youth.,POL,360POL,150STM,155YTS,1,8
CO,Colorado,2018,Synar Report,Sales to Minors,Youth Tobacco Sales - SAMHSA,5.7,%,Percent,"{'latitude': '38.843840757000464', 'longitude': '-106.13361092099967', 'human_address': '{""address"": """", ""city"": """", ""state"": ""CO"", ""zip"": """"}'}",Substance Abuse and Mental Health Services Administration (SAMHSA). Synar Reports: Tobacco Sales to Youth.,POL,360POL,150STM,155YTS,1,9
CT,Connecticut,2018,Synar Report,Sales to Minors,Youth Tobacco Sales - SAMHSA,8.8,%,Percent,"{'latitude': '41.56266102000046', 'longitude': '-72.64984095199964', 'human_address': '{""address"": """", ""city"": """", ""state"": ""CT"", ""zip"": """"}'}",Substance Abuse and Mental Health Services Administration (SAMHSA). Synar Reports: Tobacco Sales to Youth.,POL,360POL,150STM,155YTS,1,24
DE,Delaware,2018,Synar Report,Sales to Minors,Youth Tobacco Sales - SAMHSA,3.4,%,Percent,"{'latitude': '39.008830667000495', 'longitude': '-75.57774116799965', 'human_address': '{""address"": """", ""city"": """", ""state"": ""DE"", ""zip"": """"}'}",Substance Abuse and Mental Health Services Administration (SAMHSA). Synar Reports: Tobacco Sales to Youth.,POL,360POL,150STM,155YTS,1,43
DC,District of Columbia,2018,Synar Report,Sales to Minors,Youth Tobacco Sales - SAMHSA,5.8,%,Percent,"{'latitude': '38.89037138500049', 'longitude': '-77.03196112699965', 'human_address': '{""address"": """", ""city"": """", ""state"": ""DC"", ""zip"": """"}'}",Substance Abuse and Mental Health Services Administration (SAMHSA). Synar Reports: Tobacco Sales to Youth.,POL,360POL,150STM,155YTS,1,44
FL,Florida,2018,Synar Report,Sales to Minors,Youth Tobacco Sales - SAMHSA,9.2,%,Percent,"{'latitude': '28.932040377000476', 'longitude': '-81.92896053899966', 'human_address': '{""address"": """", ""city"": """", ""state"": ""FL"", ""zip"": """"}'}",Substance Abuse and Mental Health Services Administration (SAMHSA). Synar Reports: Tobacco Sales to Youth.,POL,360POL,150STM,155YTS,1,30
